"Domain","Brokered","BIN Price","Minimum Offer","Sales Setting","VerificationStatus","Date Added","Average Visitors","Inq#"
"CONVERTWORDS.COM","Yes","","50","OFFERS_ONLY","VERIFIED","02-18-2026","1.2","0"
"SHOWTINE.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-10-2026","2.2","0"
"EVENTSELLER.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-10-2026","1.2","0"
"INDYFINANCIALADVISORS.COM","Yes","","50","OFFERS_ONLY","VERIFIED_ONLY_TXT","06-10-2026","0","0"
"IWASHERE.ORG","Yes","","50","OFFERS_ONLY","VERIFIED","06-10-2026","1","0"
"GETUFINANCE.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-10-2026","1.6","0"
"STJOHNSCREDITUNION.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-10-2026","2.6","0"
"CARIBBEANPLAN.COM","Yes","","50","OFFERS_ONLY","VERIFIED_ONLY_TXT","06-10-2026","0","0"
"PLANCARIBBEAN.COM","Yes","","50","OFFERS_ONLY","VERIFIED_ONLY_TXT","06-10-2026","0","0"
"AUTOVAULTFW.COM","Yes","","50","OFFERS_ONLY","VERIFIED_ONLY_TXT","06-10-2026","0","0"
"EXAMSGROUP.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"ROUTINERISE.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"CLASSICBUICK.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"STOCKSPINNACLE.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"RUNPODS.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"HAPPYMOTIONS.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"FULLYSIMPLE.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"ROWINGCYCLES.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"GETSURESITES.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"RIZZWEDDINGS.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"HOTPORNVID.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"LOURDESPILGRIMAGE.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"PURGAN.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"COPEWITHLOSS.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"KHLTV.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-13-2026","","0"
"BESTCOEFF.COM","Yes","","50","OFFERS_ONLY","UNVERIFIED_PENDING","06-14-2026","","0"
"SINGSELL.COM","Yes","","50","OFFERS_ONLY","UNVERIFIED_PENDING","06-14-2026","","0"
"CANNEDMEALS.COM","Yes","","50","OFFERS_ONLY","UNVERIFIED_PENDING","06-14-2026","","0"
"BREWJAY.COM","Yes","","50","OFFERS_ONLY","UNVERIFIED_PENDING","06-14-2026","","0"
"CNNSPORT.COM","Yes","","50","OFFERS_ONLY","UNVERIFIED_PENDING","06-14-2026","","0"
"BUCKV.COM","Yes","","50","OFFERS_ONLY","UNVERIFIED_PENDING","06-16-2026","","0"
"TXTBID.COM","Yes","","50","OFFERS_ONLY","UNVERIFIED_PENDING","06-16-2026","","0"
"WRITERPLACE.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-16-2026","","0"
"KARATECHAT.COM","Yes","","50","OFFERS_ONLY","VERIFIED","06-16-2026","","0"
